['metadata.dataVersion', '2']
['info.participants[0].missions.playerScore4', -0.34999990463256836]
['info.participants[0].missions.playerScore5', 4059.53662109375]
['info.participants[0].missions.playerScore6', 5905.89697265625]
['info.participants[0].missions.playerScore7', 3754.125]
['info.participants[0].missions.playerScore8', 13.140372276306152]
['info.participants[0].missions.playerScore9', 0]
['info.participants[0].missions.playerScore10', 0]
['info.participants[0].missions.playerScore11', 0]
['info.participants[0].needVisionPings', 0]
['info.participants[0].neutralMinionsKilled', 0]
['info.participants[0].nexusKills', 0]
['info.participants[0].nexusLost', 0]
['info.participants[0].nexusTakedowns', 0]
['info.participants[0].objectivesStolen', 0]
['info.participants[0].objectivesStolenAssists', 0]
['info.participants[0].onMyWayPings', 0]
['info.participants[0].participantId', 1]
['info.participants[0].pentaKills', 0]
['info.participants[0].perks.statPerks.defense', 0]
['info.participants[0].perks.statPerks.flex', 0]
['info.participants[0].perks.statPerks.offense', 0]
['info.participants[0].perks.styles[0].description', 'primaryStyle']
['info.participants[0].perks.styles[0].selections[0].perk', 0]
['info.participants[0].perks.styles[0].selections[0].var1', 0]
['info.participants[0].perks.styles[0].selections[0].var2', 0]
['info.participants[0].perks.styles[0].selections[0].var3', 0]
['info.participants[0].perks.styles[0].selections[1].perk', 0]
['info.participants[0].perks.styles[0].selections[1].var1', 0]
['info.participants[0].perks.styles[0].selections[1].var2', 0]
['info.participants[0].perks.styles[0].selections[1].var3', 0]
['info.participants[0].perks.styles[0].selections[2].perk', 0]
['info.participants[0].perks.styles[0].selections[2].var1', 0]
['info.participants[0].perks.styles[0].selections[2].var2', 0]
['info.participants[0].perks.styles[0].selections[2].var3', 0]
['info.participants[0].perks.styles[0].selections[3].perk', 0]
['info.participants[0].perks.styles[0].selections[3].var1', 0]
['info.participants[0].perks.styles[0].selections[3].var2', 0]
['info.participants[0].perks.styles[0].selections[3].var3', 0]
['info.participants[0].perks.styles[0].style', 0]
['info.participants[0].perks.styles[1].description', 'subStyle']
['info.participants[0].perks.styles[1].selections[0].perk', 0]
['info.participants[0].perks.styles[1].selections[0].var1', 0]
['info.participants[0].perks.styles[1].selections[0].var2', 0]
['info.participants[0].perks.styles[1].selections[0].var3', 0]
['info.participants[0].perks.styles[1].selections[1].perk', 0]
['info.participants[0].perks.styles[1].selections[1].var1', 0]
['info.participants[0].perks.styles[1].selections[1].var2', 0]
['info.participants[0].perks.styles[1].selections[1].var3', 0]
['info.participants[0].perks.styles[1].style', 0]
['info.participants[0].physicalDamageDealt', 3075]
['info.participants[0].physicalDamageDealtToChampions', 442]
['info.participants[0].physicalDamageTaken', 22963]
['info.participants[0].placement', 6]
['info.participants[0].playerAugment1', 46]
['info.participants[0].playerAugment2', 242]
['info.participants[0].playerAugment3', 156]
['info.participants[0].playerAugment4', 301]
['info.participants[0].playerAugment5', 0]
['info.participants[0].playerAugment6', 0]
['info.participants[0].playerSubteamId', 6]
['info.participants[0].profileIcon', 3787]
['info.participants[0].pushPings', 0]
['info.participants[0].puuid', 'xMtBUgZluW3TP0VN4RlnzzebnDgwrvKykdNIbMDPa6WfpyvthVPBXFxxcFKkOlJfj5An-MReHZtWSA']
['info.participants[0].quadraKills', 0]
['info.participants[0].retreatPings', 0]
['info.participants[0].riotIdGameName', 'Hamiswam']
['info.participants[0].riotIdTagline', 'Ham']
['info.participants[0].role', 'NONE']
['info.participants[0].sightWardsBoughtInGame', 0]
['info.participants[0].spell1Casts', 168]
['info.participants[0].spell2Casts', 40]
['info.participants[0].spell3Casts', 63]
['info.participants[0].spell4Casts', 16]
['info.participants[0].subteamPlacement', 6]
['info.participants[0].summoner1Casts', 15]
['info.participants[0].summoner1Id', 2201]
['info.participants[0].summoner2Casts', 4]
['info.participants[0].summoner2Id', 2202]
['info.participants[0].summonerId', 'LmLghBD6VOq-6AlcRFWRfIQ-_bIV282F-M1sYDcgpzF_heWl9IqO6X8S3w']
['info.participants[0].summonerLevel', 28]
['info.participants[0].summonerName', '']
['info.participants[0].teamEarlySurrendered', False]
['info.participants[0].teamId', 200]
['info.participants[0].teamPosition', '']
['info.participants[0].timeCCingOthers', 16]
['info.participants[0].timePlayed', 999]
['info.participants[0].totalAllyJungleMinionsKilled', 0]
['info.participants[0].totalDamageDealt', 65553]
['info.participants[0].totalDamageDealtToChampions', 32476]
['info.participants[0].totalDamageShieldedOnTeammates', 0]
['info.participants[0].totalDamageTaken', 47247]
['info.participants[0].totalEnemyJungleMinionsKilled', 0]
['info.participants[0].totalHeal', 30033]
['info.participants[0].totalHealsOnTeammates', 0]
['info.participants[0].totalMinionsKilled', 0]
['info.participants[0].totalTimeCCDealt', 105]
['info.participants[0].totalTimeSpentDead', 394]
['info.participants[0].totalUnitsHealed', 1]
['info.participants[0].tripleKills', 0]
['info.participants[0].trueDamageDealt', 3379]
['info.participants[0].trueDamageDealtToChampions', 3379]
['info.participants[0].trueDamageTaken', 3870]
['info.participants[0].turretKills', 0]
['info.participants[0].turretTakedowns', 0]
['info.participants[0].turretsLost', 0]
['info.participants[0].unrealKills', 0]
['info.participants[0].visionClearedPings', 0]
['info.participants[0].visionScore', 0]
['info.participants[0].visionWardsBoughtInGame', 0]
['info.participants[0].wardsKilled', 0]
['info.participants[0].wardsPlaced', 0]
['info.participants[0].win', False]
['info.participants[1].PlayerScore0', 5]
['info.participants[1].PlayerScore1', 11]
['info.participants[1].PlayerScore10', 0]
['info.participants[1].PlayerScore11', 0]
['info.participants[1].PlayerScore2', 1356.7642822265625]
['info.participants[1].PlayerScore3', 0.5493836998939514]
['info.participants[1].PlayerScore4', 5.349999904632568]
['info.participants[1].PlayerScore5', 3921.39404296875]
['info.participants[1].PlayerScore6', 6558.31689453125]
['info.participants[1].PlayerScore7', 6948.33349609375]
['info.participants[1].PlayerScore8', 28.141109466552734]
['info.participants[1].PlayerScore9', 0]
['info.participants[1].allInPings', 0]
['info.participants[1].assistMePings', 0]
['info.participants[1].assists', 4]
['info.participants[1].baronKills', 0]
['info.participants[1].basicPings', 0]
['info.participants[1].challenges.12AssistStreakCount', 0]
['info.participants[1].challenges.HealFromMapSources', 4236.615798950195]
['info.participants[1].challenges.InfernalScalePickup', 0]
['info.participants[1].challenges.SWARM_DefeatAatrox', 0]
['info.participants[1].challenges.SWARM_DefeatBriar', 0]
['info.participants[1].challenges.SWARM_DefeatMiniBosses', 0]
['info.participants[1].challenges.SWARM_EvolveWeapon', 0]
['info.participants[1].challenges.SWARM_Have3Passives', 0]
['info.participants[1].challenges.SWARM_KillEnemy', 0]
['info.participants[1].challenges.SWARM_PickupGold', 0]
['info.participants[1].challenges.SWARM_ReachLevel50', 0]
['info.participants[1].challenges.SWARM_Survive15Min', 0]
['info.participants[1].challenges.SWARM_WinWith5EvolvedWeapons', 0]
['info.participants[1].challenges.abilityUses', 258]
['info.participants[1].challenges.acesBefore15Minutes', 1]
['info.participants[1].challenges.alliedJungleMonsterKills', 0]
['info.participants[1].challenges.baronTakedowns', 0]
['info.participants[1].challenges.blastConeOppositeOpponentCount', 0]
['info.participants[1].challenges.bountyGold', 0]
['info.participants[1].challenges.buffsStolen', 0]
['info.participants[1].challenges.completeSupportQuestInTime', 0]
['info.participants[1].challenges.controlWardsPlaced', 0]
['info.participants[1].challenges.damagePerMinute', 1622.9056006187425]
['info.participants[1].challenges.damageTakenOnTeamPercentage', 0.2303138199796318]
['info.participants[1].challenges.dancedWithRiftHerald', 0]
['info.participants[1].challenges.deathsByEnemyChamps', 9]
['info.participants[1].challenges.dodgeSkillShotsSmallWindow', 30]
['info.participants[1].challenges.doubleAces', 0]
['info.participants[1].challenges.dragonTakedowns', 0]
['info.participants[1].challenges.effectiveHealAndShielding', 22802.888671875]
['info.participants[1].challenges.elderDragonKillsWithOpposingSoul', 0]
['info.participants[1].challenges.elderDragonMultikills', 0]
['info.participants[1].challenges.enemyChampionImmobilizations', 24]
['info.participants[1].challenges.enemyJungleMonsterKills', 0]
['info.participants[1].challenges.epicMonsterKillsNearEnemyJungler', 0]
['info.participants[1].challenges.epicMonsterKillsWithin30SecondsOfSpawn', 0]
['info.participants[1].challenges.epicMonsterSteals', 0]
['info.participants[1].challenges.epicMonsterStolenWithoutSmite', 0]
['info.participants[1].challenges.firstTurretKilled', 0]
['info.participants[1].challenges.fistBumpParticipation', 0]
['info.participants[1].challenges.flawlessAces', 0]
['info.participants[1].challenges.fullTeamTakedown', 0]
['info.participants[1].challenges.gameLength', 1594.744587047]
['info.participants[1].challenges.getTakedownsInAllLanesEarlyJungleAsLaner', 0]
['info.participants[1].challenges.goldPerMinute', 436.4335239969607]
['info.participants[1].challenges.hadOpenNexus', 0]
['info.participants[1].challenges.immobilizeAndKillWithAlly', 4]
['info.participants[1].challenges.initialBuffCount', 0]
['info.participants[1].challenges.initialCrabCount', 0]
['info.participants[1].challenges.jungleCsBefore10Minutes', 0]
['info.participants[1].challenges.junglerTakedownsNearDamagedEpicMonster', 0]
['info.participants[1].challenges.kTurretsDestroyedBeforePlatesFall', 0]
['info.participants[1].challenges.kda', 1.5555555555555556]
['info.participants[1].challenges.killAfterHiddenWithAlly', 1]
['info.participants[1].challenges.killParticipation', 0.5384615384615384]
['info.participants[1].challenges.killedChampTookFullTeamDamageSurvived', 0]
['info.participants[1].challenges.killingSprees', 1]
['info.participants[1].challenges.killsNearEnemyTurret', 0]
['info.participants[1].challenges.killsOnOtherLanesEarlyJungleAsLaner', 0]
['info.participants[1].challenges.killsOnRecentlyHealedByAramPack', 0]
['info.participants[1].challenges.killsUnderOwnTurret', 0]
['info.participants[1].challenges.killsWithHelpFromEpicMonster', 0]
['info.participants[1].challenges.knockEnemyIntoTeamAndKill', 0]
['info.participants[1].challenges.landSkillShotsEarlyGame', 9]
['info.participants[1].challenges.laneMinionsFirst10Minutes', 0]
['info.participants[1].challenges.legendaryCount', 0]
['info.participants[1].challenges.lostAnInhibitor', 0]
['info.participants[1].challenges.maxKillDeficit', 0]
['info.participants[1].challenges.mejaisFullStackInTime', 0]
['info.participants[1].challenges.moreEnemyJungleThanOpponent', 0]
['info.participants[1].challenges.multiKillOneSpell', 0]
['info.participants[1].challenges.multiTurretRiftHeraldCount', 0]
['info.participants[1].challenges.multikills', 3]
['info.participants[1].challenges.multikillsAfterAggressiveFlash', 0]
['info.participants[1].challenges.outerTurretExecutesBefore10Minutes', 0]
['info.participants[1].challenges.outnumberedKills', 1]
['info.participants[1].challenges.outnumberedNexusKill', 0]
['info.participants[1].challenges.perfectDragonSoulsTaken', 0]
['info.participants[1].challenges.perfectGame', 0]
['info.participants[1].challenges.pickKillWithAlly', 9]
['info.participants[1].challenges.poroExplosions', 0]
['info.participants[1].challenges.quickCleanse', 0]
['info.participants[1].challenges.quickFirstTurret', 0]
['info.participants[1].challenges.quickSoloKills', 0]
['info.participants[1].challenges.riftHeraldTakedowns', 0]
['info.participants[1].challenges.saveAllyFromDeath', 2]
['info.participants[1].challenges.scuttleCrabKills', 0]
['info.participants[1].challenges.shortestTimeToAceFromFirstTakedown', 39.609787858999994]
['info.participants[1].challenges.skillshotsDodged', 186]
['info.participants[1].challenges.skillshotsHit', 75]
['info.participants[1].challenges.snowballsHit', 0]
['info.participants[1].challenges.soloBaronKills', 0]
['info.participants[1].challenges.soloKills', 1]
['info.participants[1].challenges.stealthWardsPlaced', 0]
['info.participants[1].challenges.survivedSingleDigitHpCount', 0]
['info.participants[1].challenges.survivedThreeImmobilizesInFight', 4]
['info.participants[1].challenges.takedownOnFirstTurret', 0]
['info.participants[1].challenges.takedowns', 14]
['info.participants[1].challenges.takedownsAfterGainingLevelAdvantage', 0]
['info.participants[1].challenges.takedownsBeforeJungleMinionSpawn', 0]
['info.participants[1].challenges.takedownsFirstXMinutes', 10]
['info.participants[1].challenges.takedownsInAlcove', 0]
['info.participants[1].challenges.takedownsInEnemyFountain', 0]
['info.participants[1].challenges.teamBaronKills', 0]
['info.participants[1].challenges.teamDamagePercentage', 0.19634328873046106]
['info.participants[1].challenges.teamElderDragonKills', 0]
['info.participants[1].challenges.teamRiftHeraldKills', 0]
['info.participants[1].challenges.tookLargeDamageSurvived', 1]
['info.participants[1].challenges.turretPlatesTaken', 0]
['info.participants[1].challenges.turretTakedowns', 0]
['info.participants[1].challenges.turretsTakenWithRiftHerald', 0]
['info.participants[1].challenges.twentyMinionsIn3SecondsCount', 0]
['info.participants[1].challenges.twoWardsOneSweeperCount', 0]
['info.participants[1].challenges.unseenRecalls', 0]
['info.participants[1].challenges.visionScorePerMinute', 0]
['info.participants[1].challenges.voidMonsterKill', 0]
['info.participants[1].challenges.wardTakedowns', 0]
['info.participants[1].challenges.wardTakedownsBefore20M', 0]
['info.participants[1].challenges.wardsGuarded', 4]
['info.participants[1].champExperience', 16000]
['info.participants[1].champLevel', 17]
['info.participants[1].championId', 16]
['info.participants[1].championName', 'Soraka']
['info.participants[1].championTransform', 0]
['info.participants[1].commandPings', 0]
['info.participants[1].consumablesPurchased', 0]
['info.participants[1].damageDealtToBuildings', 0]
['info.participants[1].damageDealtToEpicMonsters', 0]
['info.participants[1].damageDealtToObjectives', 0]
['info.participants[1].damageDealtToTurrets', 0]
['info.participants[1].damageSelfMitigated', 73551]
['info.participants[1].dangerPings', 0]
['info.participants[1].deaths', 9]
['info.participants[1].detectorWardsPlaced', 0]
['info.participants[1].doubleKills', 3]
['info.participants[1].dragonKills', 0]
['info.participants[1].eligibleForProgression', True]
['info.participants[1].enemyMissingPings', 0]
['info.participants[1].enemyVisionPings', 0]
['info.participants[1].firstBloodAssist', False]
['info.participants[1].firstBloodKill', False]
['info.participants[1].firstTowerAssist', False]
['info.participants[1].firstTowerKill', False]
['info.participants[1].gameEndedInEarlySurrender', False]
['info.participants[1].gameEndedInSurrender', False]
['info.participants[1].getBackPings', 0]
['info.participants[1].goldEarned', 11600]
['info.participants[1].goldSpent', 11000]
['info.participants[1].holdPings', 0]
['info.participants[1].individualPosition', 'Invalid']
['info.participants[1].inhibitorKills', 0]
['info.participants[1].inhibitorTakedowns', 0]
['info.participants[1].inhibitorsLost', 0]
['info.participants[1].item0', 447105]
['info.participants[1].item1', 223158]
['info.participants[1].item2', 223107]
['info.participants[1].item3', 4016]
['info.participants[1].item4', 226617]
['info.participants[1].item5', 226621]
['info.participants[1].item6', 3348]
['info.participants[1].itemsPurchased', 6]
['info.participants[1].killingSprees', 0]
['info.participants[1].kills', 10]
['info.participants[1].lane', 'MIDDLE']
['info.participants[1].largestCriticalStrike', 0]
['info.participants[1].largestKillingSpree', 5]
['info.participants[1].largestMultiKill', 2]
['info.participants[1].longestTimeSpentLiving', 116]
['info.participants[1].magicDamageDealt', 39986]
['info.participants[1].magicDamageDealtToChampions', 35536]
['info.participants[1].magicDamageTaken', 34767]
['info.participants[1].missions.playerScore0', 5]
['info.participants[1].missions.playerScore1', 11]
['info.participants[1].missions.playerScore2', 1356.7642822265625]
['info.participants[1].missions.playerScore3', 0.5493836998939514]
['info.participants[1].missions.playerScore4', 5.349999904632568]
['info.participants[1].missions.playerScore5', 3921.39404296875]
['info.participants[1].missions.playerScore6', 6558.31689453125]
['info.participants[1].missions.playerScore7', 6948.33349609375]
['info.participants[1].missions.playerScore8', 28.141109466552734]
['info.participants[1].missions.playerScore9', 0]
['info.participants[1].missions.playerScore10', 0]
['info.participants[1].missions.playerScore11', 0]
['info.participants[1].needVisionPings', 0]
['info.participants[1].neutralMinionsKilled', 0]
['info.participants[1].nexusKills', 0]
['info.participants[1].nexusLost', 0]
['info.participants[1].nexusTakedowns', 0]
['info.participants[1].objectivesStolen', 0]
['info.participants[1].objectivesStolenAssists', 0]
['info.participants[1].onMyWayPings', 0]
['info.participants[1].participantId', 2]
['info.participants[1].pentaKills', 0]
['info.participants[1].perks.statPerks.defense', 0]
['info.participants[1].perks.statPerks.flex', 0]
['info.participants[1].perks.statPerks.offense', 0]
['info.participants[1].perks.styles[0].description', 'primaryStyle']
['info.participants[1].perks.styles[0].selections[0].perk', 0]
['info.participants[1].perks.styles[0].selections[0].var1', 0]
['info.participants[1].perks.styles[0].selections[0].var2', 0]
['info.participants[1].perks.styles[0].selections[0].var3', 0]
['info.participants[1].perks.styles[0].selections[1].perk', 0]
['info.participants[1].perks.styles[0].selections[1].var1', 0]
['info.participants[1].perks.styles[0].selections[1].var2', 0]
['info.participants[1].perks.styles[0].selections[1].var3', 0]
['info.participants[1].perks.styles[0].selections[2].perk', 0]
['info.participants[1].perks.styles[0].selections[2].var1', 0]
['info.participants[1].perks.styles[0].selections[2].var2', 0]
['info.participants[1].perks.styles[0].selections[2].var3', 0]
['info.participants[1].perks.styles[0].selections[3].perk', 0]
['info.participants[1].perks.styles[0].selections[3].var1', 0]
['info.participants[1].perks.styles[0].selections[3].var2', 0]
['info.participants[1].perks.styles[0].selections[3].var3', 0]
['info.participants[1].perks.styles[0].style', 0]
['info.participants[1].perks.styles[1].description', 'subStyle']
['info.participants[1].perks.styles[1].selections[0].perk', 0]
['info.participants[1].perks.styles[1].selections[0].var1', 0]
['info.participants[1].perks.styles[1].selections[0].var2', 0]
['info.participants[1].perks.styles[1].selections[0].var3', 0]
['info.participants[1].perks.styles[1].selections[1].perk', 0]
['info.participants[1].perks.styles[1].selections[1].var1', 0]
['info.participants[1].perks.styles[1].selections[1].var2', 0]
['info.participants[1].perks.styles[1].selections[1].var3', 0]
['info.participants[1].perks.styles[1].style', 0]
['info.participants[1].physicalDamageDealt', 5370]
['info.participants[1].physicalDamageDealtToChampions', 1337]
['info.participants[1].physicalDamageTaken', 30696]
['info.participants[1].placement', 5]
['info.participants[1].playerAugment1', 326]
['info.participants[1].playerAugment2', 242]
['info.participants[1].playerAugment3', 15]
['info.participants[1].playerAugment4', 198]
['info.participants[1].playerAugment5', 231]
['info.participants[1].playerAugment6', 0]
